iter	Logloss
0	0.6630318726
1	0.6354780524
2	0.611794272
3	0.5908638384
4	0.5730114367
5	0.5567477232
6	0.5422878288
7	0.529498905
8	0.5172142006
9	0.5072207479
10	0.4985012009
11	0.4907393597
12	0.4834997866
13	0.4773196407
14	0.4713871792
15	0.4666274336
16	0.4615757745
17	0.4573975016
18	0.4536811738
19	0.4502160123
20	0.4471616485
21	0.4442403703
22	0.441793242
23	0.4395418111
24	0.4374290037
25	0.4352119762
26	0.4333096792
27	0.4317308505
28	0.4301648653
29	0.4286159041
30	0.4272603018
31	0.4260641493
32	0.4248898275
33	0.4235854708
34	0.4223825116
35	0.4215058919
36	0.4207379392
37	0.4199419394
38	0.4190710846
39	0.4181619949
40	0.4174960187
41	0.4169013808
42	0.4162478543
43	0.4153617498
44	0.4146926496
45	0.414207612
46	0.4136817007
47	0.4132360109
48	0.4126885747
49	0.4122886883
50	0.4118757474
51	0.4114056401
52	0.4110165715
53	0.4105870241
54	0.4102567492
55	0.4099308748
56	0.4094859095
57	0.4091571108
58	0.4087875818
59	0.4084024204
60	0.4081009916
61	0.4077140729
62	0.407266022
63	0.4068073228
64	0.4064152972
65	0.4061314972
66	0.405675817
67	0.4053418775
68	0.4050805899
69	0.4048597415
70	0.4044956275
71	0.4041171463
72	0.4038676482
73	0.4034603085
74	0.4031706895
75	0.402751136
76	0.4024750343
77	0.4022434393
78	0.4020106965
79	0.4017113759
80	0.4013753011
81	0.4011536931
82	0.4008556524
83	0.4005305386
84	0.4002864375
85	0.3999821206
86	0.3997957523
87	0.3994456782
88	0.3992005218
89	0.3990440019
90	0.3986558767
91	0.3984969946
92	0.3983347865
93	0.3981123253
94	0.3979388141
95	0.3976974973
96	0.3972641702
97	0.3970551824
98	0.3968908897
99	0.3965564795
100	0.3963411816
101	0.3959697532
102	0.3957954497
103	0.3955321859
104	0.3951403149
105	0.3948577091
106	0.3946088148
107	0.3943322447
108	0.3941116435
109	0.393957076
110	0.3937692552
111	0.3935609411
112	0.3932611511
113	0.3930652302
114	0.3928192026
115	0.3923754957
116	0.3921166414
117	0.391825931
118	0.3916900601
119	0.3915716623
120	0.3913100497
121	0.3910623212
122	0.3908091348
123	0.3905924814
124	0.3902360058
125	0.3898947326
126	0.3896373049
127	0.3894104275
128	0.389181742
129	0.3888432102
130	0.3886534347
131	0.3884788175
132	0.3880158859
133	0.3877646407
134	0.3873683952
135	0.3872396627
136	0.3870545438
137	0.386889627
138	0.3867055058
139	0.3862760296
140	0.3860666286
141	0.3859122169
142	0.3857643071
143	0.3855346036
144	0.3852974006
145	0.3850703234
146	0.3848629427
147	0.3846848866
148	0.3845167137
149	0.3844021047
150	0.3841466148
151	0.3840245332
152	0.3838064848
153	0.3836067527
154	0.3833277076
155	0.3830672179
156	0.3828919507
157	0.3826142644
158	0.3824112785
159	0.3821913623
160	0.3820021059
161	0.3817874649
162	0.3814390668
163	0.3811036217
164	0.3808950052
165	0.3805817192
166	0.3804539776
167	0.3803204429
168	0.3801945308
169	0.3800495712
170	0.3798225809
171	0.3795355543
172	0.3793614585
173	0.379216474
174	0.3790002699
175	0.3787099105
176	0.3785544785
177	0.3784050947
178	0.3780316776
179	0.3778717481
180	0.3776725419
181	0.3774989224
182	0.3773127561
183	0.3771315546
184	0.3769516386
185	0.3768009333
186	0.376618637
187	0.3763536713
188	0.3761353194
189	0.3759609482
190	0.3757396292
191	0.3756570263
192	0.3754563552
193	0.3752238719
194	0.3749669148
195	0.3747894445
196	0.3745785335
197	0.3743936166
198	0.3742654439
199	0.3741356031
200	0.3740069034
201	0.3739255431
202	0.373678713
203	0.3734370598
204	0.373204747
205	0.3730358869
206	0.3727795505
207	0.3726019662
208	0.3724963002
209	0.3723076803
210	0.3721282959
211	0.3719272365
212	0.3717870746
213	0.3715951333
214	0.3714081736
215	0.3712936571
216	0.3711445238
217	0.371041395
218	0.370880171
219	0.3706466088
220	0.3704600769
221	0.3703080104
222	0.3701524678
223	0.3699146
224	0.3697685445
225	0.3696039843
226	0.3694224679
227	0.3691709428
228	0.3689405633
229	0.3687427329
230	0.3686385544
231	0.3684466187
232	0.3683283416
233	0.3681606947
234	0.3680200927
235	0.3678786757
236	0.3677337996
237	0.3675957674
238	0.3674455744
239	0.3673488662
240	0.3671461071
241	0.3670087148
242	0.3668843354
243	0.366781193
244	0.3665714614
245	0.3663596114
246	0.3662380399
247	0.3661029297
248	0.3659319059
249	0.365763759
250	0.3656206819
251	0.3654302676
252	0.3652537577
253	0.365074748
254	0.3648444881
255	0.3647526871
256	0.3646203408
257	0.364428431
258	0.3642574175
259	0.3640870439
260	0.3638539692
261	0.3636993679
262	0.3636093309
263	0.3634327059
264	0.3632521895
265	0.363126836
266	0.3629237576
267	0.3627146523
268	0.3625669683
269	0.3624278221
270	0.362269686
271	0.3620726128
272	0.3619878803
273	0.3618179953
274	0.3615596783
275	0.3613436896
276	0.3612015256
277	0.3610774035
278	0.3608688354
279	0.3607257425
280	0.3605219497
281	0.3603325849
282	0.3601660012
283	0.3599131127
284	0.3597027322
285	0.3595935867
286	0.359404854
287	0.3592972084
288	0.3591096494
289	0.3590079866
290	0.3588874591
291	0.3587172299
292	0.3585508538
293	0.3584375223
294	0.3582867684
295	0.3581317665
296	0.3579678485
297	0.3578257905
298	0.3576531168
299	0.3574844022
300	0.3573979056
301	0.3572068039
302	0.3570641568
303	0.3569503333
304	0.3568004349
305	0.3565965145
306	0.356491573
307	0.3562980257
308	0.3561544328
309	0.3560605495
310	0.3559002002
311	0.3557906563
312	0.3556944085
313	0.3555683023
314	0.3554407018
315	0.3553364805
316	0.3551942837
317	0.355058942
318	0.3549112884
319	0.3548197334
320	0.3546918824
321	0.3545607888
322	0.3543654707
323	0.3541761805
324	0.3540472877
325	0.3539225291
326	0.3538390447
327	0.3537567647
328	0.3535221879
329	0.3533968694
330	0.3532743183
331	0.3531476783
332	0.3529186012
333	0.3527339078
334	0.3525307176
335	0.3523940013
336	0.3522362162
337	0.3521152451
338	0.3519927109
339	0.3518675031
340	0.3516595208
341	0.3514729979
342	0.3512788344
343	0.3511451067
344	0.3509979496
345	0.3508179591
346	0.3507257337
347	0.3506225326
348	0.3505138352
349	0.3504508769
350	0.3503202811
351	0.3501680656
352	0.3500314983
353	0.3499402334
354	0.349783218
355	0.3497246522
356	0.3495580639
357	0.3494605149
358	0.3493298525
359	0.3491824844
360	0.3490681496
361	0.3489447746
362	0.3488533528
363	0.3487285219
364	0.3486014327
365	0.3484662908
366	0.3483053862
367	0.3481378217
368	0.3479656005
369	0.3478797518
370	0.3477526117
371	0.3476220836
372	0.3475047704
373	0.3472965793
374	0.347146576
375	0.3470402656
376	0.3468958127
377	0.3467798933
378	0.346707712
379	0.3465880027
380	0.3465119334
381	0.3463820982
382	0.3462827005
383	0.346210842
384	0.3460199909
385	0.345913948
386	0.3458116136
387	0.3455719231
388	0.3454587485
389	0.3453253007
390	0.3451693089
391	0.3450197299
392	0.3448394414
393	0.344669359
394	0.3445165171
395	0.3444276257
396	0.3442896871
397	0.3441751898
398	0.344086208
399	0.3439387147
400	0.3437797704
401	0.3436216016
402	0.3435515816
403	0.3434111454
404	0.343304326
405	0.3431740947
406	0.3430202529
407	0.3429500117
408	0.3427604687
409	0.3426578736
410	0.3425767176
411	0.3425143936
412	0.3423907692
413	0.3422783507
414	0.3421897888
415	0.3420676632
416	0.341907403
