iter	Logloss
417	0.3418154779
418	0.3417077081
419	0.3415045744
420	0.3413415683
421	0.341148767
422	0.3410349615
423	0.3408869614
424	0.3408146017
425	0.3407213516
426	0.3405974145
427	0.3404804286
428	0.3403517751
429	0.3402375227
430	0.3401322732
431	0.3400557219
432	0.3399568264
433	0.3398599094
434	0.3397670317
435	0.3396559292
436	0.3395752698
437	0.3394696038
438	0.339373452
439	0.3392729359
440	0.3391375513
441	0.3390607371
442	0.3389625369
443	0.3388616652
444	0.338787861
445	0.3386960193
446	0.3386355327
447	0.3385241051
448	0.338327304
449	0.3382377568
450	0.3381428894
451	0.3380320589
452	0.3379060147
453	0.3378291587
454	0.3376578991
455	0.3375317015
456	0.3374289507
457	0.3372979847
458	0.3372009063
459	0.3371057747
460	0.3369880202
461	0.3368271675
462	0.3367192353
463	0.3365452817
464	0.3364592772
465	0.336311636
466	0.336207312
467	0.3361442024
468	0.3360717536
469	0.335990557
470	0.3358394713
471	0.335733846
472	0.3355387501
473	0.3354526226
474	0.3353308142
475	0.3352274122
476	0.3351410917
477	0.3350617561
478	0.3350119529
479	0.3349120067
480	0.3348223365
481	0.3347721213
482	0.3346562222
483	0.3345920676
484	0.3345154666
485	0.3344180293
486	0.3342792195
487	0.3341818104
488	0.3340752156
489	0.3339575965
490	0.3338352903
491	0.3337436529
492	0.3336041648
493	0.333503731
494	0.3334519279
495	0.3333449347
496	0.3331768611
497	0.3330508193
498	0.3329719837
499	0.3329156988
